Path,FileName,City,varName,Description,fileType,dataType,projection_epsg
processed,bal_boundary,bal,city,city boundary,.shp,areaLevel,26985
processed/image,lst_mean_day,bal,lst_day,land surface temperature,.tif,raster,26985
processed/image,lst_mean_night,bal,lst_night,land surface temperature,.tif,raster,26985
processed/image,albedo_mean_day,bal,alb,albedo,.tif,raster,26985
processed/image,ndvi_mean_day,bal,ndvi,vegetation index,.tif,raster,26985
processed,NLCD2011_LC_bal,bal,lcov,National land cover database 2011,.tif,rasterCategory,26985
processed,NLCD2011_CAN_bal,bal,tree,tree canopy cover,.tif,raster,26985
processed,NLCD2011_IMP_bal,bal,imp,impervious surface percent,.tif,raster,26985
processed/image,nbdi_mean_day,bal,nbdi,vegetation index,.tif,raster,26985
processed,bal_pop_density,bal,pdens,population density,.tif,raster,26985
processed,bal_bldgs,bal,bldg,building footprint,.shp,polyIntersect,26985
processed,bal_ntl,bal,ntl,sky view factor,.tif,raster,26985
processed,bal_svf_6,bal,svf,sky view factor,.tif,raster,26985
processed,bal_dsm,bal,dsm,Elevation in meters,.tif,raster,26985
processed,bal_elevation,bal,elev,Elevation in meters,.tif,raster,26985
